ID,Supply_Depot_Address,CountryFlag,Locality,Locality_Norm,Query_Locality,Matched_District,Match_Score,Match_Method,Fuel Zone,Magisterial code,Province,Match_Status
107,"Island View Rd, Durban, 4052, South Africa",SA,Durban,Durban,Durban,Durban,100.0,fuzzy,01A,LF072,KwaZulu Natal,OK
108,"Waltloo, Pretoria, 0184, South Africa",SA,Pretoria,Pretoria,Pretoria,Pretoria,100.0,fuzzy,09C,SL277,Gauteng,OK
109,"Alberton, South Africa",SA,Alberton,Alberton,Alberton,Alberton,100.0,fuzzy,09C,TM008,Gauteng,OK
110,"Alberton, South Africa",SA,Alberton,Alberton,Alberton,Alberton,100.0,fuzzy,09C,TM008,Gauteng,OK
111,"Alberton, South Africa",SA,Alberton,Alberton,Alberton,Alberton,100.0,fuzzy,09C,TM008,Gauteng,OK
112,"Alberton, South Africa",SA,Alberton,Alberton,Alberton,Alberton,100.0,fuzzy,09C,TM008,Gauteng,OK
113,"Alberton, South Africa",SA,Alberton,Alberton,Alberton,Alberton,100.0,fuzzy,09C,TM008,Gauteng,OK
114,"Alberton, South Africa",SA,Alberton,Alberton,Alberton,Alberton,100.0,fuzzy,09C,TM008,Gauteng,OK
115,"Alberton, South Africa",SA,Alberton,Alberton,Alberton,Alberton,100.0,fuzzy,09C,TM008,Gauteng,OK
116,"Island View Rd, Durban, 4052, South Africa",SA,Durban,Durban,Durban,Durban,100.0,fuzzy,01A,LF072,KwaZulu Natal,OK
117,"Island View Rd, Durban, 4052, South Africa",SA,Durban,Durban,Durban,Durban,100.0,fuzzy,01A,LF072,KwaZulu Natal,OK
118,"100 Duncan Rd, Foreshore, Cape Town, 8001, South Africa",SA,Cape Town,Cape Town,Cape Town,Cape Town,100.0,fuzzy,01A,BV050,Western Cape,OK
119,"East London, South Africa",SA,East London,East London,East London,East London,100.0,fuzzy,01A,CH083,Eastern Cape,OK
120,"Alberton, South Africa",SA,Alberton,Alberton,Alberton,Alberton,100.0,fuzzy,09C,TM008,Gauteng,OK
121,"Alberton, South Africa",SA,Alberton,Alberton,Alberton,Alberton,100.0,fuzzy,09C,TM008,Gauteng,OK
122,"Island View Rd, Durban, 4052, South Africa",SA,Durban,Durban,Durban,Durban,100.0,fuzzy,01A,LF072,KwaZulu Natal,OK
123,"100 Duncan Rd, Foreshore, Cape Town, 8001, South Africa",SA,Cape Town,Cape Town,Cape Town,Cape Town,100.0,fuzzy,01A,BV050,Western Cape,OK
124,"Waltloo, Pretoria, 0184, South Africa",SA,Pretoria,Pretoria,Pretoria,Pretoria,100.0,fuzzy,09C,SL277,Gauteng,OK
125,"Richards Bay, South Africa",SA,Richards Bay,Lower Umfolozi,Lower Umfolozi,Lower Umfolozi,100.0,fuzzy,05A,LT192,KwaZulu Natal,OK
126,"Richards Bay, South Africa",SA,Richards Bay,Lower Umfolozi,Lower Umfolozi,Lower Umfolozi,100.0,fuzzy,05A,LT192,KwaZulu Natal,OK
127,"Richards Bay, South Africa",SA,Richards Bay,Lower Umfolozi,Lower Umfolozi,Lower Umfolozi,100.0,fuzzy,05A,LT192,KwaZulu Natal,OK
128,"Secunda, 2302, South Africa",SA,Secunda,Highveld Ridge,Highveld Ridge,Highveld Ridge,100.0,fuzzy,09C,SG137,Mpumalanga,OK
129,"Waltloo, Pretoria, 0184, South Africa",SA,Pretoria,Pretoria,Pretoria,Pretoria,100.0,fuzzy,09C,SL277,Gauteng,OK
130,"Waltloo, Pretoria, 0184, South Africa",SA,Pretoria,Pretoria,Pretoria,Pretoria,100.0,fuzzy,09C,SL277,Gauteng,OK
131,"East London, South Africa",SA,East London,East London,East London,East London,100.0,fuzzy,01A,CH083,Eastern Cape,OK
132,"Waltloo, Pretoria, 0184, South Africa",SA,Pretoria,Pretoria,Pretoria,Pretoria,100.0,fuzzy,09C,SL277,Gauteng,OK
133,"Cape Town, South Africa",SA,Cape Town,Cape Town,Cape Town,Cape Town,100.0,fuzzy,01A,BV050,Western Cape,OK
134,"Richards Bay, South Africa",SA,Richards Bay,Lower Umfolozi,Lower Umfolozi,Lower Umfolozi,100.0,fuzzy,05A,LT192,KwaZulu Natal,OK
135,"Secunda, 2302, South Africa",SA,Secunda,Highveld Ridge,Highveld Ridge,Highveld Ridge,100.0,fuzzy,09C,SG137,Mpumalanga,OK
136,"Richards Bay, South Africa",SA,Richards Bay,Lower Umfolozi,Lower Umfolozi,Lower Umfolozi,100.0,fuzzy,05A,LT192,KwaZulu Natal,OK
137,"Cape Town, South Africa",SA,Cape Town,Cape Town,Cape Town,Cape Town,100.0,fuzzy,01A,BV050,Western Cape,OK
138,"Richards Bay, South Africa",SA,Richards Bay,Lower Umfolozi,Lower Umfolozi,Lower Umfolozi,100.0,fuzzy,05A,LT192,KwaZulu Natal,OK
139,"Cape Town, South Africa",SA,Cape Town,Cape Town,Cape Town,Cape Town,100.0,fuzzy,01A,BV050,Western Cape,OK
140,"Richards Bay, South Africa",SA,Richards Bay,Lower Umfolozi,Lower Umfolozi,Lower Umfolozi,100.0,fuzzy,05A,LT192,KwaZulu Natal,OK
141,"Secunda, 2302, South Africa",SA,Secunda,Highveld Ridge,Highveld Ridge,Highveld Ridge,100.0,fuzzy,09C,SG137,Mpumalanga,OK
142,"Bloemfontein, South Africa",SA,Bloemfontein,Bloemfontein,Bloemfontein,Bloemfontein,100.0,fuzzy,11C,PC042,Free State,OK
143,"Richards Bay, South Africa",SA,Richards Bay,Lower Umfolozi,Lower Umfolozi,Lower Umfolozi,100.0,fuzzy,05A,LT192,KwaZulu Natal,OK
144,"Richards Bay, South Africa",SA,Richards Bay,Lower Umfolozi,Lower Umfolozi,Lower Umfolozi,100.0,fuzzy,05A,LT192,KwaZulu Natal,OK
145,"Secunda, 2302, South Africa",SA,Secunda,Highveld Ridge,Highveld Ridge,Highveld Ridge,100.0,fuzzy,09C,SG137,Mpumalanga,OK
146,"Mossel Bay, South Africa",SA,Mossel Bay,Mossel Bay,Mossel Bay,Mossel Bay,100.0,fuzzy,01A,DV206,Western Cape,OK
147,"Mossel Bay, South Africa",SA,Mossel Bay,Mossel Bay,Mossel Bay,Mossel Bay,100.0,fuzzy,01A,DV206,Western Cape,OK
148,"Richards Bay, South Africa",SA,Richards Bay,Lower Umfolozi,Lower Umfolozi,Lower Umfolozi,100.0,fuzzy,05A,LT192,KwaZulu Natal,OK
149,"Mossel Bay, South Africa",SA,Mossel Bay,Mossel Bay,Mossel Bay,Mossel Bay,100.0,fuzzy,01A,DV206,Western Cape,OK
150,"East London, South Africa",SA,East London,East London,East London,East London,100.0,fuzzy,01A,CH083,Eastern Cape,OK
151,"East London, South Africa",SA,East London,East London,East London,East London,100.0,fuzzy,01A,CH083,Eastern Cape,OK
152,"Secunda, 2302, South Africa",SA,Secunda,Highveld Ridge,Highveld Ridge,Highveld Ridge,100.0,fuzzy,09C,SG137,Mpumalanga,OK
153,"Waltloo, Pretoria, 0184, South Africa",SA,Pretoria,Pretoria,Pretoria,Pretoria,100.0,fuzzy,09C,SL277,Gauteng,OK
154,"Durban, South Africa",SA,Durban,Durban,Durban,Durban,100.0,fuzzy,01A,LF072,KwaZulu Natal,OK
155,"Waltloo, Pretoria, 0184, South Africa",SA,Pretoria,Pretoria,Pretoria,Pretoria,100.0,fuzzy,09C,SL277,Gauteng,OK
156,"Waltloo, Pretoria, 0184, South Africa",SA,Pretoria,Pretoria,Pretoria,Pretoria,100.0,fuzzy,09C,SL277,Gauteng,OK
157,"Emjejane, Malalane, 1330, South Africa",SA,Malalane,Nkomazi (Kamhulshwa),Nkomazi (Kamhulshwa),Nkomazi (Kamhulshwa),100.0,fuzzy,61C,6A456,Mpumalanga,OK
158,"Emjejane, Malalane, 1330, South Africa",SA,Malalane,Nkomazi (Kamhulshwa),Nkomazi (Kamhulshwa),Nkomazi (Kamhulshwa),100.0,fuzzy,61C,6A456,Mpumalanga,OK
159,"Alrode, Alberton, 1451, South Africa",SA,Alberton,Alberton,Alberton,Alberton,100.0,fuzzy,09C,TM008,Gauteng,OK
160,"Waltloo, Pretoria, 0184, South Africa",SA,Pretoria,Pretoria,Pretoria,Pretoria,100.0,fuzzy,09C,SL277,Gauteng,OK
161,"Waltloo, Pretoria, 0184, South Africa",SA,Pretoria,Pretoria,Pretoria,Pretoria,100.0,fuzzy,09C,SL277,Gauteng,OK
162,"Richards Bay, South Africa",SA,Richards Bay,Lower Umfolozi,Lower Umfolozi,Lower Umfolozi,100.0,fuzzy,05A,LT192,KwaZulu Natal,OK
163,"Durban, South Africa",SA,Durban,Durban,Durban,Durban,100.0,fuzzy,01A,LF072,KwaZulu Natal,OK
164,"Durban, South Africa",SA,Durban,Durban,Durban,Durban,100.0,fuzzy,01A,LF072,KwaZulu Natal,OK
165,"Cape Town, South Africa",SA,Cape Town,Cape Town,Cape Town,Cape Town,100.0,fuzzy,01A,BV050,Western Cape,OK
166,"Gqeberha, South Africa",SA,Gqeberha,Port Elizabeth,Port Elizabeth,Port Elizabeth,100.0,fuzzy,01A,EL263,Eastern Cape,OK
167,"Richards Bay, South Africa",SA,Richards Bay,Lower Umfolozi,Lower Umfolozi,Lower Umfolozi,100.0,fuzzy,05A,LT192,KwaZulu Natal,OK
168,"Richards Bay, South Africa",SA,Richards Bay,Lower Umfolozi,Lower Umfolozi,Lower Umfolozi,100.0,fuzzy,05A,LT192,KwaZulu Natal,OK
169,"Bloemfontein, South Africa",SA,Bloemfontein,Bloemfontein,Bloemfontein,Bloemfontein,100.0,fuzzy,11C,PC042,Free State,OK
170,"Cape Town, South Africa",SA,Cape Town,Cape Town,Cape Town,Cape Town,100.0,fuzzy,01A,BV050,Western Cape,OK
171,,Foreign,nan,nan,,,,,,,,FOREIGN
172,,Foreign,nan,nan,,,,,,,,FOREIGN
173,,Foreign,nan,nan,,,,,,,,FOREIGN
174,,Foreign,nan,nan,,,,,,,,FOREIGN
175,,Foreign,nan,nan,,,,,,,,FOREIGN
176,,Foreign,nan,nan,,,,,,,,FOREIGN
177,,Foreign,nan,nan,,,,,,,,FOREIGN
178,,Foreign,nan,nan,,,,,,,,FOREIGN
179,,Foreign,nan,nan,,,,,,,,FOREIGN
180,,Foreign,nan,nan,,,,,,,,FOREIGN
181,,Foreign,nan,nan,,,,,,,,FOREIGN
182,,Foreign,nan,nan,,,,,,,,FOREIGN
183,,Foreign,nan,nan,,,,,,,,FOREIGN
184,,Foreign,nan,nan,,,,,,,,FOREIGN
185,,Foreign,nan,nan,,,,,,,,FOREIGN
186,,Foreign,nan,nan,,,,,,,,FOREIGN
187,,Foreign,nan,nan,,,,,,,,FOREIGN
188,,Foreign,nan,nan,,,,,,,,FOREIGN
189,,Foreign,nan,nan,,,,,,,,FOREIGN
190,,Foreign,nan,nan,,,,,,,,FOREIGN
191,,Foreign,nan,nan,,,,,,,,FOREIGN
192,,Foreign,nan,nan,,,,,,,,FOREIGN
193,,Foreign,nan,nan,,,,,,,,FOREIGN
194,,Foreign,nan,nan,,,,,,,,FOREIGN
195,,Foreign,nan,nan,,,,,,,,FOREIGN
196,,Foreign,nan,nan,,,,,,,,FOREIGN
197,,Foreign,nan,nan,,,,,,,,FOREIGN
198,,Foreign,nan,nan,,,,,,,,FOREIGN
199,,Foreign,nan,nan,,,,,,,,FOREIGN
200,,Foreign,nan,nan,,,,,,,,FOREIGN
201,,Foreign,nan,nan,,,,,,,,FOREIGN
202,"Rocky Drift, White River, 1240, South Africa",SA,White River,White River,White River,White River,100.0,fuzzy,61C,TH405,Mpumalanga,OK
203,"Alberton, South Africa",SA,Alberton,Alberton,Alberton,Alberton,100.0,fuzzy,09C,TM008,Gauteng,OK
204,"Alberton, South Africa",SA,Alberton,Alberton,Alberton,Alberton,100.0,fuzzy,09C,TM008,Gauteng,OK
205,"Alrode, Alberton, 1451, South Africa",SA,Alberton,Alberton,Alberton,Alberton,100.0,fuzzy,09C,TM008,Gauteng,OK
206,"Alrode, Alberton, 1451, South Africa",SA,Alberton,Alberton,Alberton,Alberton,100.0,fuzzy,09C,TM008,Gauteng,OK
207,"Waltloo, Pretoria, 0184, South Africa",SA,Pretoria,Pretoria,Pretoria,Pretoria,100.0,fuzzy,09C,SL277,Gauteng,OK
208,"Waltloo, Pretoria, 0184, South Africa",SA,Pretoria,Pretoria,Pretoria,Pretoria,100.0,fuzzy,09C,SL277,Gauteng,OK
209,"Waltloo, Pretoria, 0184, South Africa",SA,Pretoria,Pretoria,Pretoria,Pretoria,100.0,fuzzy,09C,SL277,Gauteng,OK
210,"Milnerton, Cape Town, South Africa",SA,Cape Town,Cape Town,Cape Town,Cape Town,100.0,fuzzy,01A,BV050,Western Cape,OK
211,"Alrode, Alberton, 1451, South Africa",SA,Alberton,Alberton,Alberton,Alberton,100.0,fuzzy,09C,TM008,Gauteng,OK
212,"Alrode, Alberton, 1451, South Africa",SA,Alberton,Alberton,Alberton,Alberton,100.0,fuzzy,09C,TM008,Gauteng,OK
213,"Waltloo, Pretoria, 0184, South Africa",SA,Pretoria,Pretoria,Pretoria,Pretoria,100.0,fuzzy,09C,SL277,Gauteng,OK
214,"Klerksdorp, South Africa",SA,Klerksdorp,Klerksdorp,Klerksdorp,Klerksdorp,100.0,fuzzy,09C,RT177,North West,OK
215,"Bethlehem, South Africa",SA,Bethlehem,Bethlehem,Bethlehem,Bethlehem,100.0,fuzzy,07C,PA038,Free State,OK
216,"Waltloo, Pretoria, 0184, South Africa",SA,Pretoria,Pretoria,Pretoria,Pretoria,100.0,fuzzy,09C,SL277,Gauteng,OK
